,Address,Name Tag,Balance,Txn Count
0,0x8ed95d1746bf1e4dab58d8ed4724f1ef95b20db0,0x: Erc20 Bridge Proxy,0 ETH,4
1,0x0ac2d6f5f5afc669d3ca38f830dad2b4f238ad3f,0x: Eth2Dai Bridge,0 ETH,1
2,0xa6baaed2053058a3c8f11e0c7a9716304454b09e,0x: Uniswap Bridge,0 ETH,2
3,0x96e471b5945373de238963b4e032d3574be4d195,0xHabitat: Rollup Bridge,0 ETH,466
4,0x43298f9f91a4545df64748e78a2c777c580573d6,Across Protocol: Badger Bridge Pool,0 ETH,205
5,0x30b44c676a05f1264d1de9cc31db5f2a945186b6,Across Protocol: Bridge Admin,0 ETH,8
6,0xdfe0ec39291e3b60aca122908f86809c9ee64e90,Across Protocol: UMA Bridge Pool,0 ETH,95
7,0x256c8919ce1ab0e33974cf6aa9c71561ef3017b6,Across Protocol: USDC Bridge Pool,0 ETH,4887
8,0x02fbb64517e1c6ed69a6faa3abf37db0482f1152,Across Protocol: WBTC Bridge Pool,0 ETH,276
9,0x7355efc63ae731f584380a9838292c7046c1e433,Across Protocol: WETH Bridge Pool,0 ETH,26794
10,0xbbbd1bbb4f9b936c3604906d7592a644071de884,Allbridge: Bridge,33.91492658 ETH,11531
11,0x23122da8c581aa7e0d07a36ff1f16f799650232f,Arbitrum Nova: L1 Arb-Custom Gateway,0 ETH,4
12,0xb2535b988dce19f9d71dfb22db6da744acac21bf,Arbitrum Nova: L1 ERC20 Gateway,0 ETH,2
13,0xc840838bc438d73c16c2f8b22d2ce3669963cd48,Arbitrum Nova: L1 Gateway Router,0 ETH,1039
14,0xe4e2121b479017955be0b175305b35f312330bae,Arbitrum Nova: L1 WETH Gateway,0 ETH,2
15,0xcee284f754e854890e311e3280b767f80797180d,Arbitrum One: L1 Arb - Custom Gateway,0 ETH,45
16,0xd3b5b60020504bc3489d6949d545893982ba3011,Arbitrum One: L1 DAI Gateway,0 ETH,5
